sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms
1.1,6,CECO,HP,-4.418,67.19626168,0,0.0,75.0,-74588.0,-74513.0,0.0,484.0,75072.0,0,224.2,0,0,0,1.602,1,2020,October,7.4933,7.709,0.2157,1,7.1723,0.0
1.1,4,ABCO,EPI,-2.187,143.9111262,0,0.0,27.0,-82780.0,-82753.0,0.0,82.0,82862.0,0,265.7,0,0,0,0.5391,1,2020,October,7.8193,8.6678,0.8485,1,7.2297,0.0
1.1,4,PIJE,EPI,-3.164,0,0,0.0,18.0,-83531.0,-83513.0,0.0,67.0,83598.0,0,0,0,0,100,0.4484,1,2020,October,12.4437,0,-12.4437,1,12.1381,0.0
1.1,3,ARPA,HP,-3.432,134.1844398,0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2,155.5,248.2,179,0,4.4451,0,2020,October,7.5839,8.0306,0.4467,1,7.251,365.0
1.2,7,ARPA,HP,-4.139,87.20588235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.1871,0,2020,October,7.5286,7.8844,0.3558,1,7.1206,0.0
1.2,1,CECO,HP,-0.152,124.6845858,0,23.0,690.0,0.0,690.0,4.0,4.0,0.0,2,0,291.7,291.6,0,1.6206,0,2020,October,7.3915,7.6188,0.2273,1,7.2092,4.0
1.2,4,PIJE,EPI,-2.906,141.1518325,0,0.0,-83999.0,0.0,-83999.0,0.0,0.0,0.0,0,271.1,0,0,100,0.51,0,2020,October,12.401,12.8054,0.4044,1,12.1145,0.0
1.2,2,QUKE,HP,-1.457,93.53233831,0,0.0,-7.0,0.0,-7.0,0.0,0.0,0.0,0,210.7,0,0,0,0.6174,0,2020,October,7.296,7.4088,0.1128,1,7.1754,0.0
1.2,6,ARPA,HP,-4.9,82.86189684,0,25.0,32.0,0.0,32.0,25.0,26.0,1.0,1,252.6,337.9,238.1,0,3.6122,0,2020,October,12.6388,13.0372,0.3984,1,12.158,7.0
1.2,6,PIJE,HP,-3.333,133.1919406,0,40.0,66.0,0.0,66.0,20.0,33.0,13.0,1,273.5,333.7,268.4,100,7.119,0,2020,October,7.4244,7.6756,0.2512,1,7.2358,7.0
1.2,5,PIJE,HP,-3.716,122.9087452,0,51.0,77.0,21.0,98.0,21.0,64.0,22.0,1,270.5,336.9,286.2,100,5.4078,1,2020,October,7.5225,7.9104,0.3879,1,7.2069,8.0
1.2,1,QUKE,EPI,-0.106,161.2939417,0,7.0,5.0,22.0,27.0,1.0,45.0,22.0,1,279.2,357.3,326.9,0,0.5953,1,2020,October,12.3621,12.7934,0.4313,1,12.0947,-59890.0
1.2,3,PIJE,HP,-1.786,146.9850587,0,40.0,74.0,0.0,74.0,11.0,35.0,24.0,1,263.3,315.9,261.2,100,5.0331,0,2020,October,12.6004,13.1513,0.5509,1,12.2256,-33682.0
1.2,5,QUKE,HP,-8.3,0,missing wet and dry weights,26.0,10.0,0.0,10.0,5.0,31.0,26.0,1,217.5,237,219.3,0,0.4248,0,2020,October,0,0,0,1,7.2261,0.0
1.2,4,QUKE,HP,-1.003,138.9121339,0,25.0,31.0,0.0,31.0,5.0,39.0,34.0,1,225,222.1,217.9,0,1.1376,0,2020,October,12.2956,12.6276,0.332,1,12.0566,0.0
1.2,3,QUKE,HP,-3.443,102.0126509,0,34.0,18.0,0.0,18.0,6.0,41.0,35.0,1,224,334.5,224.5,0,1.0679,0,2020,October,7.5955,7.9503,0.3548,1,7.2477,2.0
1.2,3,ARPA,EPI,-3.538,167.6336375,0,22.5,11.0,11.0,22.0,15.0,64.0,38.0,1,277.7,293.8,242.9,0,0.4236,1,2020,October,7.5784,8.0927,0.5143,1,7.2716,-33880.0
1.2,7,CADE,HP,-2.471,102.0672334,0,43.0,78.0,0.0,78.0,32.0,72.0,40.0,1,245,265.3,240,0,2.5872,0,2020,October,12.7962,13.3245,0.5283,1,12.2786,-10892.0
1.2,9,CADE,HP,-5,51.8957346,0,47.0,41.0,0.0,41.0,18.0,59.0,41.0,1,232.5,287.8,215.3,0,2.2144,0,2020,October,7.6179,7.8369,0.219,1,7.1959,2.0
1.2,3,ABCO,HP,-1.784,146.0624071,0,40.0,74.0,0.0,74.0,14.0,57.0,43.0,1,265.6,287,265.1,0,2.9943,0,2020,October,7.4956,7.7905,0.2949,1,7.2937,1.0
1.2,1,CECO,EPI,-0.152,124.6845858,0,4.0,5.0,29.0,34.0,2.0,75.0,44.0,1,276.1,0,0,0,0.3094,1,2020,October,7.3915,7.6188,0.2273,1,7.2092,-51049.0
1.2,5,CADE,HP,-1.212,121.9884933,0,31.0,30.0,57.0,87.0,17.0,122.0,48.0,1,248.3,310.5,259.1,0,3.4031,1,2020,October,12.8127,13.4912,0.6785,1,12.2565,1.0
1.2,2,PIJE,HP,-1.117,174.4179014,0,47.0,104.0,0.0,104.0,20.0,69.0,49.0,1,275.9,377.7,285.8,100,6.3002,0,2020,October,12.5173,13.0941,0.5768,1,12.1866,3.0
1.2,2,ABCO,HP,-1.223,165.0322119,0,47.0,67.0,0.0,67.0,10.0,62.0,52.0,1,263.6,294.8,258.8,0,2.7272,0,2020,October,7.5323,7.9934,0.4611,1,7.2529,-14427.0
1.2,1,ABCO,HP,-0.261,200.2079002,0,20.0,100.0,44.0,144.0,6.0,108.0,58.0,1,267,289.2,288.9,0,3.2049,1,2020,October,7.3531,7.642,0.2889,1,7.2088,-7716.0
1.2,6,ABCO,HP,-2.991,122.3776224,0,32.0,52.0,0.0,52.0,16.0,74.0,58.0,1,273.7,275.6,264.7,10,1.7292,1,2020,October,12.5154,12.9354,0.42,1,12.1722,-4090.0
1.2,1,PIJE,HP,-0.512,169.1558442,0,42.0,130.0,0.0,130.0,29.0,87.0,58.0,1,274.9,351.2,265.3,100,7.222,0,2020,October,12.4377,13.0108,0.5731,1,12.0989,-8918.0
1.2,7,ABCO,HP,-3.822,105.8375635,0,26.0,45.0,18.0,63.0,28.0,106.0,60.0,1,235.3,236.4,227.7,66,1.8713,1,2020,October,7.4046,7.5714,0.1668,1,7.247,4.0
1.2,6,CECO,HP,-5.301,64.94023904,0,32.0,102.0,0.0,102.0,372.0,437.0,65.0,2,257,278.3,278.4,0,1.2398,0,2020,October,7.4383,7.5687,0.1304,1,7.2375,369.0
