author,year,heating.notes,heating.temp,heating.irradiance,second.heating,sample.size.description,sample.weight,sample.length.cm,sample.area.cm,sample.volume.cm,epiradiator,wind.tunnel,muffle.furnace,MLC,xylene.lattice,fire.bench,grill,oxygen.bomb.calorimeter,steel.ring.litter.bed,tray,FFB,FPA,cone.calorimeter,bunsen.burner,other,intermediate.scale.calorimeter,duplicate,model,notes
Frejaville et al,2013,215 C,215,,,bark,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,burning bark
Ganteaume et al,2013,500 W; 420 C,420,63.66,,1g,1,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Murray et al,2013,500 C open furnace temp ,500,,,individual leaf specimens',,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MF,
Madrigal et al ,2013,50 kW per m2,,50,,MLC: 10g,10,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,MLC,
Madrigal et al ,2013,NA,,,,Wind tunnel: 'full plant',,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Sanpakit et al,2013,NA,,,,2000g chamise,2000,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WT,
Clarke et al,2014,"Anderson 1970, Gill and Moore 1996",,,,leaf-level: 10mm discs,,,9.87,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Y,BB,
Zhao et al,2014,NA,,,,NA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N,BB,"open flame, but not bunsen burner; instead, a tea candle, sample held by hand (very unique method)"
Kauf et al,2014,420 C; 500W,420,,,5g,5,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Moreira et al,2014,640-660 C,650,,,NA,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,EPI,
Page et al,2014,500 W,,63.66,,6.3 to 10.6g,8.45,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EPI,
Page et al,2014,NA,,,,NA,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Y,OB,
