individual_round,individual_epi,sample_epi,round_epi,spp_epi,model_epi,mpa_epi,lfm_epi,lfm_notes_epi,fh_epi,ttfg_epi,gti_epi,tti_epi,fd_epi,gd_epi,pfg_epi,ignition_epi,start_temp_epi,temp_max_epi,ignition_temp_epi,prop_new_epi,sample_wt_epi,glow_epi,year_month_epi,year_epi,month_epi,dry_wt_epi,fresh_wt_epi,water_wt_epi,site_epi,location_epi,individual_hp,sample_hp,round_hp,spp_hp,model_hp,mpa_hp,lfm_hp,lfm_notes_hp,fh_hp,ttfg_hp,gti_hp,tti_hp,fd_hp,gd_hp,pfg_hp,ignition_hp,start_temp_hp,temp_max_hp,ignition_temp_hp,prop_new_hp,sample_wt_hp,glow_hp,year_month_hp,year_hp,month_hp,dry_wt_hp,fresh_wt_hp,water_wt_hp,site_hp,location_hp
2020_October_ARPA_1.2_7,2020_October_ARPA_1.2,1.2,7,ARPA,EPI,-4.139,87.20588235,0,0,21,-30,-9,0,103,133,0,274.2,0,0,0,0.5024,1,2020_October,2020,October,7.5286,7.8844,0.3558,1,seki,2020_October_ARPA_1.2,1.2,7,ARPA,HP,-4.139,87.20588235,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1871,0,2020_October,2020,October,7.5286,7.8844,0.3558,1,seki
2020_October_ARPA_1.2_8,2020_October_ARPA_1.2,1.2,8,ARPA,EPI,-5.802,72.67358626,0,0,13,-32296,-32283,0,115,32411,0,272.3,0,0,0,0.5458,1,2020_October,2020,October,7.7855,8.1916,0.4061,1,seki,2020_October_ARPA_1.2,1.2,8,ARPA,HP,-5.802,72.67358626,0,30,28,0,28,17,123,106,1,276.7,302,262.6,0,2.7185,0,2020_October,2020,October,7.7855,8.1916,0.4061,1,seki
2020_October_ARPA_1.3_1,2020_October_ARPA_1.3,1.3,1,ARPA,EPI,-0.113,128.18013,0,0,11,-57273,-57262,0,98,57371,0,279.9,0,0,0,0.4964,1,2020_October,2020,October,7.685,8.2372,0.5522,1,seki,2020_October_ARPA_1.3,1.3,1,ARPA,HP,-0.113,128.18013,0,23,50,0,50,14,213,199,1,279,335.3,282.2,0,3.2273,0,2020_October,2020,October,7.685,8.2372,0.5522,1,seki
2020_October_ARPA_1.3_2,2020_October_ARPA_1.3,1.3,2,ARPA,EPI,-2.283,120.0420168,0,0,7,-69877,-69870,0,79,69956,0,269.3,0,0,0,0.4589,1,2020_October,2020,October,7.4912,7.7769,0.2857,1,seki,2020_October_ARPA_1.3,1.3,2,ARPA,HP,-2.283,120.0420168,0,38,294,0,294,25,105,80,2,176.7,239.7,181.2,0,3.9332,1,2020_October,2020,October,7.4912,7.7769,0.2857,1,seki
2020_October_ARPA_1.3_3,2020_October_ARPA_1.3,1.3,3,ARPA,EPI,-4.144,90.82503556,0,0,10,-38872,-38862,0,81,38953,0,268.7,0,0,0,0.5523,1,2020_October,2020,October,12.395,12.6504,0.2554,1,seki,2020_October_ARPA_1.3,1.3,3,ARPA,HP,-4.144,90.82503556,0,0,204,-39340,-39136,0,212,39552,0,214.3,0,0,0,3.5489,1,2020_October,2020,October,12.395,12.6504,0.2554,1,seki
2020_October_ARPA_1.3_4,2020_October_ARPA_1.3,1.3,4,ARPA,EPI,-3.749,95.36850584,0,0,16,-45042,-45026,0,96,45138,0,279.4,0,0,0,0.4165,1,2020_October,2020,October,7.4485,7.6853,0.2368,1,seki,2020_October_ARPA_1.3,1.3,4,ARPA,HP,-3.749,95.36850584,0,35,40,0,40,46,496,450,1,254.1,266.7,249.4,0,3.0409,0,2020_October,2020,October,7.4485,7.6853,0.2368,1,seki
2020_October_ARPA_1.3_5,2020_October_ARPA_1.3,1.3,5,ARPA,EPI,-5.558,75.26529037,0,5,12,14,26,9,45,22,1,286.2,369.1,293.5,0,0.4585,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,seki,2020_October_ARPA_1.3,1.3,5,ARPA,HP,-5.558,75.26529037,0,31,88,29,117,6,329,294,1,243.9,261.2,260.8,0,3.948,1,2020_October,2020,October,12.6346,13.0247,0.3901,1,seki
2020_October_ARPA_1.3_6,2020_October_ARPA_1.3,1.3,6,ARPA,EPI,-4.883,84.92503594,0,0,10,-18,-8,0,123,141,0,274.8,0,0,0,0.5017,1,2020_October,2020,October,12.6091,13.0226,0.4135,1,seki,2020_October_ARPA_1.3,1.3,6,ARPA,HP,-4.883,84.92503594,0,32,113,8,121,11,141,122,1,240.2,270.8,264.1,0,2.666,1,2020_October,2020,October,12.6091,13.0226,0.4135,1,seki
2020_October_ARPA_1.4_1,2020_October_ARPA_1.4,1.4,1,ARPA,EPI,-0.134,125.7525084,0,0,17,-57639,-57622,0,95,57734,0,281.8,0,0,0,0.4988,1,2020_October,2020,October,7.4659,7.7667,0.3008,1,seki,2020_October_ARPA_1.4,1.4,1,ARPA,HP,-0.134,125.7525084,0,32,70,0,70,32,111,79,1,272,300.9,278.4,0,4.0751,0,2020_October,2020,October,7.4659,7.7667,0.3008,1,seki
2020_October_ARPA_1.4_2,2020_October_ARPA_1.4,1.4,2,ARPA,EPI,-2.047,127.0564584,0,0,19,-70890,-70871,0,84,70974,0,275.8,0,0,0,0.7163,1,2020_October,2020,October,7.7463,8.5047,0.7584,1,seki,2020_October_ARPA_1.4,1.4,2,ARPA,HP,-2.047,127.0564584,0,36,143,0,143,10,138,128,1,218.5,234.9,231.6,0,4.0073,0,2020_October,2020,October,7.7463,8.5047,0.7584,1,seki
2020_October_ARPA_1.4_3,2020_October_ARPA_1.4,1.4,3,ARPA,EPI,-3.377,44.49815183,0,10,10,34,44,2,91,55,1,268.5,286.1,276.8,0,0.5586,1,2020_October,2020,October,7.5363,7.6928,0.1565,1,seki,2020_October_ARPA_1.4,1.4,3,ARPA,HP,-3.377,44.49815183,0,26,40,0,40,12,45,33,1,254.1,253.3,249.4,0,2.8179,0,2020_October,2020,October,7.5363,7.6928,0.1565,1,seki
