model.spp.gr.sample,individual,sample,round,model.spp.gr,spp,model,mpa,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year.month,year,month,dry.wt,fresh.wt,water.wt,site,bottle.wt,ttms,lfm.outliers.out,lfm.NAs.imputed,gr,precip.2month,precip.2mo,season,ignition_no_double,prop.ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp.change,gdw.gfw,gww.gdw,gdw.gww,dw.flam.sample,ww.flam.sample,gww.gdw.saturated,gdw.gww.saturated,RWC,RWD,max.mpa.sample,flam.index,mean.wt,dry.norm.fh,dry.norm.gd,dry.norm.fd,dry.norm.pfg,dry.norm.ttfg,dry.norm.tti,dry.norm.gti,fh_nas_imputed
"2020_October_HP_ARPA_(100,110]_1.5",2020_October_ARPA_1.5,1.5,3,"2020_October_HP_ARPA_(100,110]",ARPA,HP,3.128,0,40,51,0.5,50,20,195,175,1,266.9,280.6,262.7,NA,4.2343,0,2020_October,2020,October,7.6145,7.9789,0.3644,1,7.2572,10,101.98712570000001,101.98712570000001,"(100,110]",2020_October,0.61,Dry,1,100,0.5,hydrated,"(100,105]","(100,110]","(100,120]",13.700000000000045,0.9543295441727555,1.0198712570000001,20.895993413830954,4.040917588890699,0.193382411109301,1.438068756,1.1822415707356981,70.91950595163338,29.080494048366617,-0.084,24.33650022555657,3.652345,9.898741837737077,48.25636645896825,4.949370918868539,43.30699554009971,12.620895843114774,12.373427297171347,0.12373427297171347,40
"2020_October_HP_ARPA_(70,80]_1.5",2020_October_ARPA_1.5,1.5,7,"2020_October_HP_ARPA_(70,80]",ARPA,HP,5.2,missing dry wt,14,90,0.5,90,12,222,210,1,222.3,233.9,229.7,NA,4.3114,0,2020_October,2020,October,10.11585,8.5565,8.5565,1,7.2089,3,NA,78.99033605692841,"(70,80]",2020_October,0.61,Dry,1,60,0.8333333333333334,moderate,"(75,80]","(70,80]","(60,80]",11.599999999999994,1.1822415707356981,0.7899033605692841,1.1822415707356981,5.0971163080698885,0.12037739596605501,1.438068756,1.1822415707356981,54.92806635799575,45.07193364200425,-0.084,13.393505202820636,3.652345,2.7466510775582718,43.55403851556689,2.3542723521928046,41.19976616337408,17.657042641446033,17.657042641446033,0.09809468134136685,14
"2020_October_HP_ARPA_(90,100]_1.6",2020_October_ARPA_1.6,1.6,6,"2020_October_HP_ARPA_(90,100]",ARPA,HP,3.801,0,35,125,0.5,50,7,84,77,1,200.4,198.7,249.7,NA,2.6618,0,2020_October,2020,October,12.674,13.1029,0.4289,1,12.2076,4,91.95969125,91.95969125,"(90,100]",2020_October,0.61,Dry,1,85,1.4285714285714286,hydrated,"(90,95]","(90,100]","(80,100]",-1.700000000000017,0.967266788268246,0.9195969125000001,29.550011657729073,2.574670737012417,0.08712926298758283,1.238374096,20.663699582753825,74.25840991589993,25.741590084100068,-0.186,23.537828074045326,3.652345,13.59397125886983,32.62553102128759,2.718794251773966,29.906736769513625,48.54989735310654,19.419958941242612,0.19419958941242613,35
"2020_October_HP_ARPA_(100,110]_1.6",2020_October_ARPA_1.6,1.6,2,"2020_October_HP_ARPA_(100,110]",ARPA,HP,0.781,0,32,85,0.5,85,20,96,96,1,240.4,262.5,250.7,NA,2.747,0,2020_October,2020,October,7.5346,7.8846,0.35,1,7.2058,2,106.4476886,106.4476886,"(100,110]",2020_October,0.61,Dry,1,100,0.47619047619047616,hydrated,"(105,110]","(100,110]","(100,120]",22.099999999999994,0.955609669482282,1.064476886,21.527428571428572,2.6250597620678287,0.12194023793217124,1.238374096,20.663699582753825,85.957618900323,14.042381099677002,-0.186,16.7116868086696,3.652345,12.1901986622936,36.5705959868808,7.6188741639335,36.5705959868808,32.38021519671737,32.38021519671737,0.1904718540983375,32
"2020_October_HP_ARPA_(120,130]_1.6",2020_October_ARPA_1.6,1.6,5,"2020_October_HP_ARPA_(120,130]",ARPA,HP,2.137,missing flam weight,36,81,0.5,81,29,150,121,1,235.6,256.7,238,NA,4.0751,0,2020_October,2020,October,7.4286,7.7881,0.3595,1,7.1383,4,123.8374096,123.8374096,"(120,130]",2020_October,0.61,Dry,1,90,0.3448275862068966,hydrated,"(120,125]","(120,130]","(120,140]",21.099999999999994,0.9538398325650672,1.238374096,20.663699582753825,3.886992701685905,0.18810729831409478,1.238374096,20.663699582753825,100,0,-0.186,17.705487815076044,3.652345,9.26165875855278,38.59024482730325,7.460780666611963,31.129464160691292,20.838732206743757,20.838732206743757,0.12863414942434417,36
"2020_October_HP_ARPA_(90,100]_1.6",2020_October_ARPA_1.6,1.6,4,"2020_October_HP_ARPA_(90,100]",ARPA,HP,3.484,0,40,44,0.5,44,11,194,183,1,254.4,377,243.9,NA,2.4975,0,2020_October,2020,October,7.4999,7.848,0.3481,1,7.1334,3,94.97953615,94.97953615,"(90,100]",2020_October,0.61,Dry,1,85,0.9090909090909091,hydrated,"(90,95]","(90,100]","(80,100]",122.6,0.9556447502548421,0.9497953615,21.54524561907498,2.386722763761468,0.11077723623853197,1.238374096,20.663699582753825,76.6969661726516,23.3030338273484,-0.186,26.309068526220145,3.652345,16.75938261759406,81.28300569533118,4.608830219838366,76.67417547549282,18.435320879353466,18.435320879353466,0.20949228271992573,40
"2020_October_HP_ARPA_(100,110]_1.6",2020_October_ARPA_1.6,1.6,3,"2020_October_HP_ARPA_(100,110]",ARPA,HP,1.542,0,32,66,0.5,66,10,223,213,1,281.3,310.8,285.3,NA,2.7888,0,2020_October,2020,October,7.4866,7.7405,0.2539,1,7.2502,4,107.4027073,107.4027073,"(100,110]",2020_October,0.61,Dry,1,100,1,hydrated,"(105,110]","(100,110]","(100,120]",29.5,0.9671985013887991,1.074027073,29.486411973217802,2.697323180673083,0.09147681932691709,1.238374096,20.663699582753825,86.72880646237292,13.271193537627084,-0.186,19.437575352094246,3.652345,11.86361361118574,82.67455735295063,3.7073792534955436,78.96717809945508,24.46870307307059,24.46870307307059,0.18536896267477718,32
"2020_October_HP_ARPA_(110,120]_1.6",2020_October_ARPA_1.6,1.6,1,"2020_October_HP_ARPA_(110,120]",ARPA,HP,0.186,0,35,28,12,40,29,293,252,1,281.8,359.7,277.5,NA,2.9491,0,2020_October,2020,October,7.4477,7.712,0.2643,1,7.2162,4,114.1684665,114.1684665,"(110,120]",2020_October,0.61,Dry,1,90,0.3448275862068966,hydrated,"(110,115]","(110,120]","(100,120]",77.89999999999998,0.9657287344398341,1.1416846649999999,28.178963299281122,2.8480306107365148,0.1010693892634853,1.238374096,20.663699582753825,92.19222759000604,7.807772409993959,-0.186,26.959813901549023,3.652345,12.289193756575822,102.87810773362044,10.182474826877108,88.48219504734591,9.831355005260656,14.044792864658081,4.213437859397424,35
"2020_October_HP_ARPA_(110,120]_2.1",2020_October_ARPA_2.1,2.1,1,"2020_October_HP_ARPA_(110,120]",ARPA,HP,0.13,0,27,45,0.5,45,33,87,54,1,294.6,323,288.3,NA,3.1574,0,2020_October,2020,October,7.854,8.0085,0.1545,2,7.1822,16,NA,118.50350565685721,"(110,120]",2020_October,0.61,Dry,1,90,0.30303030303030304,hydrated,"(115,120]","(110,120]","(100,120]",28.399999999999977,0.9807079977523881,1.185035056568572,50.834951456310684,3.09648743210339,0.060912567896609815,1.185035056568572,7.921781867614764,100,0,-0.13,23.542374328634942,3.652345,8.719557431453667,28.09635172357293,10.657236860665593,17.439114862907335,14.532595719089446,14.532595719089446,0.1614732857676605,27
"2020_October_HP_ARPA_(80,90]_2.1",2020_October_ARPA_2.1,2.1,4,"2020_October_HP_ARPA_(80,90]",ARPA,HP,1.038,DW may be off-find another written down?,26,40,0.5,40,26,132,106,1,264.3,329,268.8,NA,4.3009,0,2020_October,2020,October,7.6699,8.0808,0.4109,2,7.1863,12,84.96691481,84.96691481,"(80,90]",2020_October,0.61,Dry,1,90,0.38461538461538464,moderate,"(80,85]","(80,90]","(80,100]",64.69999999999999,0.9491510741510741,0.8496691481,18.666098807495743,4.082203854816355,0.2186961451836451,1.185035056568572,7.921781867614764,71.6999166725355,28.300083327464506,-0.13,25.056802021716333,3.652345,6.369108678716304,32.33547483040585,6.369108678716304,25.96636615168955,9.798628736486622,9.798628736486622,0.12248285920608278,26
"2020_October_HP_ARPA_(80,90]_2.1",2020_October_ARPA_2.1,2.1,3,"2020_October_HP_ARPA_(80,90]",ARPA,HP,5.948,0,16,31,0.5,31,29,144,115,1,261.7,284.4,261.6,NA,3.7074,0,2020_October,2020,October,7.6266,7.9877,0.3611,2,7.1785,17,80.58469092,80.58469092,"(80,90]",2020_October,0.61,Dry,1,90,0.3448275862068966,moderate,"(80,85]","(80,90]","(80,100]",22.69999999999999,0.9547929942286265,0.8058469092,21.120465245084464,3.5397995468032097,0.16760045319679007,1.185035056568572,7.921781867614764,68.00194683973635,31.99805316026365,-0.13,26.132187701895063,3.652345,4.52002995888555,40.68026962996995,8.19255430048006,32.48771532948989,8.757558045340753,8.757558045340753,0.14125093621517343,16
"2020_October_HP_ARPA_(100,110]_2.1",2020_October_ARPA_2.1,2.1,2,"2020_October_HP_ARPA_(100,110]",ARPA,HP,1.954,0,30,53,0.5,53,22,186,164,1,275.2,259.4,245.8,NA,3.6214,0,2020_October,2020,October,7.5756,8.5319,0.9563,2,7.2158,2,NA,104.28811683037395,"(100,110]",2020_October,0.61,Dry,1,100,0.45454545454545453,hydrated,"(100,105]","(100,110]","(100,120]",-15.800000000000011,0.8879147669335083,1.0428811683037396,7.921781867614764,3.215494536973007,0.40590546302699293,1.185035056568572,7.921781867614764,88.00424616327737,11.995753836722628,-0.13,21.86198354926445,3.652345,9.329824589980896,57.84491245788156,6.841871365985991,51.00304109189557,16.482690108966253,16.482690108966253,0.1554970764996816,30
"2020_October_HP_ARPA_(80,90]_2.1",2020_October_ARPA_2.1,2.1,5,"2020_October_HP_ARPA_(80,90]",ARPA,HP,2.556,0,26,48,0.5,48,16,256,240,1,233,266.1,247.1,NA,2.8463,0,2020_October,2020,October,12.3325,12.5355,0.203,2,12.093,4,84.75991649,84.75991649,"(80,90]",2020_October,0.61,Dry,1,90,0.625,moderate,"(80,85]","(80,90]","(80,100]",33.10000000000002,0.9838059909856008,0.8475991649,60.75123152709359,2.8002069921423156,0.04609300785768422,1.185035056568572,7.921781867614764,71.52523971352687,28.474760286473128,-0.13,22.428340717687785,3.652345,9.285027882923947,91.42181300109733,5.713863312568583,85.70794968852874,17.14158993770575,17.14158993770575,0.17855822851776823,26
"2020_October_HP_ARPA_(110,120]_2.2",2020_October_ARPA_2.2,2.2,2,"2020_October_HP_ARPA_(110,120]",ARPA,HP,1.212,0,NA,45,0.5,45,50,104,54,1,236.8,252.2,241.4,NA,3.3193,0,2020_October,2020,October,7.4964,7.8702,0.3738,2,7.2772,45,NA,110.07091206570871,"(110,120]",2020_October,0.61,Dry,1,90,0.2,hydrated,"(110,115]","(110,120]","(100,120]",15.399999999999977,0.9525043836243045,1.1007091206570871,20.0545746388443,3.161647800564154,0.15765219943584619,1.215851941,12.636829913964261,90.52986498930031,9.470135010699693,-0.098,24.35391720076681,3.652345,NA,32.894239510625624,15.81453822626232,17.079701284363306,14.233084403636088,14.233084403636088,0.1581453822626232,31
