individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_October_CECO_1.3,1.3,7,"2020_October_EPI_CECO_(50,60]",CECO,EPI,8,0,7.5,7,24,31,20,149,105,1,280.1,343.4,263.1,NA,0.5655,1,2020_October,2020,October,12.4963,12.6664,0.1701,1,51.81236674,51.81236674,"(50,60]",2020_October,0.61,Dry,1,70,0.5,dry,"(50,55]","(50,60]","(40,60]",63.299999999999955,0.9865707699109456,0.5181236674,73.4644326866549,14.151527316484216,-0.58,seki
2020_October_CECO_1.4,1.4,1,"2020_October_EPI_CECO_(130,140]",CECO,EPI,0.384,0,1,14,27,35,5,142,82,1,274.1,330.8,289.7,NA,0.4912,1,2020_October,2020,October,7.5047,7.8876,0.3829,1,130.4599659,130.4599659,"(130,140]",2020_October,0.61,Dry,1,100,2,hydrated,"(130,135]","(130,140]","(120,140]",56.69999999999999,0.9514554490592828,1.304599659,19.599634369287017,10.802341788075076,-0.384,seki
2020_October_CECO_1.4,1.4,5,"2020_October_EPI_CECO_(60,70]",CECO,EPI,5.098,0,7.3,13,18,31,14,115,83,1,270,304.2,281.5,NA,0.5185,1,2020_October,2020,October,7.6504,7.9528,0.3024,1,68.15415822,68.15415822,"(60,70]",2020_October,0.61,Dry,1,64,0.7142857142857143,moderate,"(65,70]","(60,70]","(60,80]",34.19999999999999,0.9619756563725984,0.6815415821999999,25.2989417989418,14.07632841151894,-0.384,seki
2020_October_CECO_1.4,1.4,7,"2020_October_EPI_CECO_(60,70]",CECO,EPI,6.632,0,8,9,27,36,9,172,136,1,278.6,287.9,259.2,NA,0.5997,1,2020_October,2020,October,12.702,12.9552,0.2532,1,61.47123088,61.47123088,"(60,70]",2020_October,0.61,Dry,1,64,1.1111111111111112,moderate,"(60,65]","(60,70]","(60,80]",9.299999999999956,0.9804557243423492,0.6147123088,50.165876777251185,13.565033204494224,-0.384,seki
2020_October_CECO_1.5,1.5,5,"2020_October_EPI_CECO_(60,70]",CECO,EPI,4.495,0,4,10,27,37,3,102,72,1,272.1,302.3,294.5,NA,0.338,1,2020_October,2020,October,7.574,7.7455,0.1715,1,64.86384266,64.86384266,"(60,70]",2020_October,0.61,Dry,1,64,3.3333333333333335,moderate,"(60,65]","(60,70]","(60,80]",30.19999999999999,0.9778581111613196,0.6486384266,44.16326530612245,11.922193823172393,-0.183,seki
2020_October_CECO_1.5,1.5,3,"2020_October_EPI_CECO_(90,100]",CECO,EPI,3.267,0,10.3,10,32,42,12,155,111,1,265,373.4,281.3,NA,0.5545,1,2020_October,2020,October,12.5217,12.8366,0.3149,1,90.80161476,90.80161476,"(90,100]",2020_October,0.61,Dry,1,12,0.8333333333333334,hydrated,"(90,95]","(90,100]","(80,100]",108.39999999999998,0.975468582023277,0.9080161476,39.7640520800254,13.540738657015774,-0.183,seki
2020_October_CECO_1.5,1.5,7,"2020_October_EPI_CECO_(80,90]",CECO,EPI,4.225,0,15,11,18,29,8,165,113,1,266.9,335.1,278.85,NA,0.5531,1,2020_October,2020,October,12.5799,12.9261,0.3462,1,80.83119309,80.83119309,"(80,90]",2020_October,0.61,Dry,1,57,0.29411764705882354,moderate,"(80,85]","(80,90]","(80,100]",68.20000000000005,0.9732169795994152,0.8083119309,36.3370883882149,16.954123621496997,-0.183,seki
2020_October_CECO_1.5,1.5,8,"2020_October_EPI_CECO_(40,50]",CECO,EPI,8,0,15,11,27,38,10,217,180,1,287.9,315.4,278.85,NA,0.5497,1,2020_October,2020,October,7.6737,7.9116,0.2379,1,50,50,"(40,50]",2020_October,0.61,Dry,1,75,1,dry,"(45,50]","(40,50]","(40,60]",139.90000000000003,0.9699302290307904,0.5,32.25598991172762,15.341510906358504,-0.183,seki
2020_October_CECO_1.6,1.6,6,"2020_October_EPI_CECO_(50,60]",CECO,EPI,9,0,20,5,17,22,7,81,57,1,277.9,347.7,264.6,NA,0.4845,1,2020_October,2020,October,7.5101,7.6603,0.1502,1,57.43785851,57.43785851,"(50,60]",2020_October,0.61,Dry,1,70,1.4285714285714286,dry,"(55,60]","(50,60]","(40,60]",69.80000000000001,0.9803924128297848,0.5743785851,50.00066577896139,20.18130413381635,-0.138,seki
2020_October_CECO_1.6,1.6,3,"2020_October_EPI_CECO_(50,60]",CECO,EPI,1.841,0,2.8,9,26,35,1,94,67,1,276.4,299.8,291.8,NA,0.4957,1,2020_October,2020,October,12.2821,12.3738,0.0917,1,57.74559194,57.74559194,"(50,60]",2020_October,0.61,Dry,1,70,10,dry,"(55,60]","(50,60]","(40,60]",23.40000000000003,0.9925891803649648,0.5774559194,133.93784078516902,11.645861871858363,-0.138,seki
